estrangeiras,brasileiras
adele,duda beat
ariana grande,iza
katy perry,gloria groove
demi lovato,pablo vittar
taylor swift,anavitoria
lady gaga,anitta
beyonce,ludmilla
lana del rey,luisa sonza
selena gomez,mc tha
cardi b,marilia mendonça
nicki minaj,mc rebecca
madonna,lexa
rihanna,luisa e os alquimistas
billie eilish,potyguara bardo
mariah carey,kika boom
camila cabello,lia clark
dua lipa ,kaya conky
lorde,YMA
miley cyrus,mallu magalhaes
jessie j,solange almeida
carly rae jepsen,aline barros
shakira,karol conka
sia,linn da quebrada
christina aguilera,liniker
kim petras,urias
doja cat,ivete sangalo
lizzo,claudia leitte
melanie martinez,daniela mercury
marina,elza soares
kylie minogue,maiara e maraisa
karol g,simone e simaria
iggy azelea,naiara azevedo
kesha,mc loma e as gemeas lacração
britney spears,jade baraldo
poppy,clau
rosalía,danny bond
kacey musgraves,malía
charli xcx,pocah
ava max,aretuza lovi
,pepita